"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1
0.1	149.67
0.10139	150.1
0.102799	150.55
0.104227	150.99
0.105676	151.46
0.107145	151.93
0.108634	152.4
0.110143	152.88
0.111674	153.37
0.113226	153.86
0.1148	154.36
0.116395	154.88
0.118013	155.39
0.119653	155.93
0.121315	156.46
0.123001	157
0.124711	157.55
0.126444	158.1
0.128201	158.66
0.129983	159.23
0.131789	159.8
0.133621	160.4
0.135478	160.99
0.137361	161.58
0.13927	162.18
0.141205	162.79
0.143167	163.41
0.145157	164.04
0.147174	164.68
0.14922	165.31
0.151293	165.96
0.153396	166.61
0.155528	167.27
0.157689	167.94
0.159881	168.62
0.162103	169.3
0.164355	169.99
0.16664	170.68
0.168955	171.39
0.171303	172.11
0.173684	172.82
0.176098	173.55
0.178545	174.28
0.181027	175.02
0.183542	175.78
0.186093	176.54
0.188679	177.3
0.191301	178.08
0.19396	178.86
0.196656	179.66
0.199389	180.45
0.20216	181.26
0.204969	182.07
0.207818	182.91
0.210706	183.74
0.213634	184.58
0.216603	185.44
0.219613	186.31
0.222665	187.18
0.22576	188.06
0.228897	188.95
0.232078	189.85
0.235303	190.76
0.238574	191.68
0.241889	192.62
0.245251	193.56
0.248659	194.51
0.252115	195.49
0.255619	196.46
0.259171	197.44
0.262773	198.45
0.266425	199.46
0.270127	200.47
0.273881	201.52
0.277688	202.56
0.281547	203.61
0.285459	204.69
0.289427	205.77
0.293449	206.86
0.297527	207.97
0.301662	209.09
0.305854	210.23
0.310105	211.38
0.314414	212.54
0.318784	213.71
0.323214	214.9
0.327706	216.12
0.33226	217.33
0.336878	218.55
0.34156	219.81
0.346306	221.07
0.351119	222.35
0.355999	223.66
0.360946	224.95
0.365962	226.28
0.371048	227.62
0.376205	228.99
0.381433	230.36
0.386734	231.74
0.392109	233.16
0.397558	234.58
0.403083	236.04
0.408685	237.5
0.414365	238.96
0.420123	240.46
0.425962	241.97
0.431882	243.52
0.437884	245.08
0.443969	246.65
0.450139	248.24
0.456395	249.85
0.462737	251.48
0.469168	253.11
0.475689	254.79
0.482299	256.48
0.489002	258.2
0.495798	259.93
0.502688	261.69
0.509674	263.46
0.516757	265.26
0.523939	267.08
0.53122	268.93
0.538603	270.79
0.546088	272.68
0.553677	274.59
0.561372	276.52
0.569174	278.47
0.577084	280.47
0.585104	282.46
0.593235	284.5
0.601479	286.56
0.609838	288.62
0.618314	290.74
0.626907	292.89
0.635619	295.03
0.644452	297.2
0.653409	299.41
0.662489	301.66
0.671696	303.91
0.681031	306.21
0.690495	308.54
0.700092	310.88
0.709821	313.26
0.719686	315.67
0.729687	318.09
0.739828	320.56
0.75011	323.05
0.760534	325.56
0.771104	328.14
0.78182	330.69
0.792685	333.31
0.803702	335.97
0.814871	338.66
0.826196	341.34
0.837678	344.09
0.849319	346.89
0.861122	349.68
0.87309	352.54
0.885224	355.42
0.897526	358.32
0.909999	361.26
0.922646	364.23
0.935468	367.27
0.948469	370.32
0.96165	373.4
0.975014	376.52
0.988564	379.7
1.0023	388.38
1.01623	391.7
1.03036	395.06
1.04467	398.44
1.05919	401.85
1.07391	405.3
1.08884	408.82
1.10397	412.33
